12.9	25	4	140
29.2	18	6	200
25.9	20	6	172
30.8	19	6	172
23.7	22	4	208
14.2	22	4	110
19.9	19	6	170
22.6	16	6	180
26.3	19	6	170
33	16	8	200
37.5	16	8	295
8.5	25	4	110
11.4	25	4	110
13.4	19	6	160
13.4	21	4	110
14.7	18	6	170
14.7	15	6	165
18	17	8	170
34.6	17	8	300
18.4	20	6	153
14.5	23	4	141
29.5	20	6	147
7.9	29	4	92
8.4	23	4	93
11.9	22	4	100
13.6	17	6	142
14.8	21	4	100
18.5	18	6	300
7.9	29	4	92
17.5	20	6	214
6.9	31	4	63
8.4	23	4	127
10.4	22	4	96
10.8	22	4	105
12.8	24	4	115
14.5	15	6	145
15.6	21	6	140
20.1	18	8	190
6.7	46	3	55
11.5	30	4	90
17	24	4	160
8.4	42	4	102
13.8	24	4	140
6.8	29	4	81
9	22	4	124
9.1	26	4	92
12.4	20	4	128
45.4	17	8	278
27.5	18	6	185
34.7	18	6	225
33.3	17	6	160
34.4	18	8	210
7.4	29	4	82
10.9	28	4	103
14.3	26	4	164
16.6	18	6	155
29	20	4	130
43.8	19	6	217
13.3	23	4	100
14.9	19	6	140
7.7	29	4	92
22.4	18	6	202
8.7	29	4	110
13	24	4	150
16.7	17	6	151
21	21	6	160
13	24	4	155
14.2	23	4	110
19.5	18	6	170
19.5	19	6	170
11.4	23	4	92
8.2	31	4	74
9.4	23	4	110
14	19	6	160
15.4	19	6	200
19.4	19	6	170
20.3	20	4	140
9.2	28	4	85
7.3	33	3	73
10.5	25	4	90
16.3	23	4	130
7.3	39	3	70
7.8	32	4	82
14.2	25	4	135
15.2	22	4	130
18.9	18	4	138
8.7	25	4	81
16.6	17	5	109
17.6	21	4	134
22.9	18	6	178
21.8	21	4	114
24.8	20	5	168
